true,pred,count,config,feature_set,test_player
2,6,0,A_expressive,S3_minimal,p05
2,7,0,A_expressive,S3_minimal,p05
2,8,0,A_expressive,S3_minimal,p05
3,2,0,A_expressive,S3_minimal,p05
3,3,0,A_expressive,S3_minimal,p05
3,4,0,A_expressive,S3_minimal,p05
3,5,1,A_expressive,S3_minimal,p05
3,6,0,A_expressive,S3_minimal,p05
3,7,0,A_expressive,S3_minimal,p05
3,8,0,A_expressive,S3_minimal,p05
4,2,0,A_expressive,S3_minimal,p05
4,3,0,A_expressive,S3_minimal,p05
4,4,0,A_expressive,S3_minimal,p05
4,5,3,A_expressive,S3_minimal,p05
4,6,2,A_expressive,S3_minimal,p05
4,7,0,A_expressive,S3_minimal,p05
4,8,0,A_expressive,S3_minimal,p05
5,2,0,A_expressive,S3_minimal,p05
5,3,0,A_expressive,S3_minimal,p05
5,4,1,A_expressive,S3_minimal,p05
5,5,43,A_expressive,S3_minimal,p05
5,6,26,A_expressive,S3_minimal,p05
5,7,0,A_expressive,S3_minimal,p05
5,8,0,A_expressive,S3_minimal,p05
6,2,0,A_expressive,S3_minimal,p05
6,3,0,A_expressive,S3_minimal,p05
6,4,0,A_expressive,S3_minimal,p05
6,5,0,A_expressive,S3_minimal,p05
6,6,0,A_expressive,S3_minimal,p05
6,7,0,A_expressive,S3_minimal,p05
6,8,0,A_expressive,S3_minimal,p05
7,2,0,A_expressive,S3_minimal,p05
7,3,0,A_expressive,S3_minimal,p05
7,4,0,A_expressive,S3_minimal,p05
7,5,0,A_expressive,S3_minimal,p05
7,6,0,A_expressive,S3_minimal,p05
7,7,0,A_expressive,S3_minimal,p05
7,8,0,A_expressive,S3_minimal,p05
8,2,0,A_expressive,S3_minimal,p05
8,3,0,A_expressive,S3_minimal,p05
8,4,0,A_expressive,S3_minimal,p05
8,5,0,A_expressive,S3_minimal,p05
8,6,0,A_expressive,S3_minimal,p05
8,7,0,A_expressive,S3_minimal,p05
8,8,0,A_expressive,S3_minimal,p05
2,2,0,B_balanced,S1_tier1,p01
2,3,0,B_balanced,S1_tier1,p01
2,4,0,B_balanced,S1_tier1,p01
2,5,1,B_balanced,S1_tier1,p01
2,6,0,B_balanced,S1_tier1,p01
2,7,0,B_balanced,S1_tier1,p01
2,8,0,B_balanced,S1_tier1,p01
3,2,0,B_balanced,S1_tier1,p01
3,3,0,B_balanced,S1_tier1,p01
3,4,0,B_balanced,S1_tier1,p01
3,5,6,B_balanced,S1_tier1,p01
3,6,0,B_balanced,S1_tier1,p01
3,7,0,B_balanced,S1_tier1,p01
3,8,0,B_balanced,S1_tier1,p01
4,2,0,B_balanced,S1_tier1,p01
4,3,0,B_balanced,S1_tier1,p01
4,4,0,B_balanced,S1_tier1,p01
4,5,12,B_balanced,S1_tier1,p01
4,6,0,B_balanced,S1_tier1,p01
4,7,0,B_balanced,S1_tier1,p01
4,8,0,B_balanced,S1_tier1,p01
5,2,0,B_balanced,S1_tier1,p01
5,3,0,B_balanced,S1_tier1,p01
5,4,0,B_balanced,S1_tier1,p01
5,5,17,B_balanced,S1_tier1,p01
5,6,0,B_balanced,S1_tier1,p01
5,7,0,B_balanced,S1_tier1,p01
5,8,0,B_balanced,S1_tier1,p01
6,2,0,B_balanced,S1_tier1,p01
6,3,0,B_balanced,S1_tier1,p01
6,4,0,B_balanced,S1_tier1,p01
6,5,31,B_balanced,S1_tier1,p01
6,6,0,B_balanced,S1_tier1,p01
6,7,0,B_balanced,S1_tier1,p01
6,8,0,B_balanced,S1_tier1,p01
7,2,0,B_balanced,S1_tier1,p01
7,3,0,B_balanced,S1_tier1,p01
7,4,0,B_balanced,S1_tier1,p01
7,5,45,B_balanced,S1_tier1,p01
7,6,0,B_balanced,S1_tier1,p01
7,7,0,B_balanced,S1_tier1,p01
7,8,0,B_balanced,S1_tier1,p01
8,2,0,B_balanced,S1_tier1,p01
8,3,0,B_balanced,S1_tier1,p01
8,4,0,B_balanced,S1_tier1,p01
8,5,25,B_balanced,S1_tier1,p01
8,6,0,B_balanced,S1_tier1,p01
8,7,0,B_balanced,S1_tier1,p01
8,8,0,B_balanced,S1_tier1,p01
2,2,0,B_balanced,S1_tier1,p03
2,3,0,B_balanced,S1_tier1,p03
2,4,0,B_balanced,S1_tier1,p03
2,5,0,B_balanced,S1_tier1,p03
2,6,0,B_balanced,S1_tier1,p03
2,7,0,B_balanced,S1_tier1,p03
2,8,0,B_balanced,S1_tier1,p03
3,2,0,B_balanced,S1_tier1,p03
3,3,0,B_balanced,S1_tier1,p03
3,4,0,B_balanced,S1_tier1,p03
3,5,0,B_balanced,S1_tier1,p03
